Theta_i,Phi_i,Theta_r,Phi_r,A,B,C,D
60,0,30,0,0,-30,0,30
60,0,25,0,0,-25,0,35
60,0,20,0,0,-20,0,40
60,0,15,0,0,-15,0,45
60,0,10,0,0,-10,0,50
60,0,5,0,0,-5,0,55
60,0,-0,0,-0,0,-0,60
60,0,5,180,0,5,0,65
60,0,10,180,0,10,0,70
60,0,15,180,0,15,0,75
60,0,20,180,0,20,0,80
60,0,25,180,0,25,0,85
60,0,30,180,0,30,0,90
60,0,35,180,0,35,0,95
60,0,40,180,0,40,0,100
60,0,45,180,0,45,0,105
60,0,50,180,0,50,0,110
60,0,55,180,0,55,0,115
60,0,56,180,0,56,0,116
60,0,57,180,0,57,0,117
60,0,58,180,0,58,0,118
60,0,59,180,0,59,0,119
60,0,60,180,0,60,0,120
55,0,30,0,0,-30,0,25
55,0,25,0,0,-25,0,30
55,0,20,0,0,-20,0,35
55,0,15,0,0,-15,0,40
55,0,10,0,0,-10,0,45
55,0,5,0,0,-5,0,50
55,0,-0,0,-0,0,-0,55
55,0,5,180,0,5,0,60
55,0,10,180,0,10,0,65
55,0,15,180,0,15,0,70
55,0,20,180,0,20,0,75
55,0,25,180,0,25,0,80
55,0,30,180,0,30,0,85
55,0,35,180,0,35,0,90
55,0,40,180,0,40,0,95
55,0,45,180,0,45,0,100
55,0,50,180,0,50,0,105
55,0,51,180,0,51,0,106
55,0,52,180,0,52,0,107
55,0,53,180,0,53,0,108
55,0,54,180,0,54,0,109
55,0,55,180,0,55,0,110
55,0,56,180,0,56,0,111
55,0,57,180,0,57,0,112
55,0,58,180,0,58,0,113
55,0,59,180,0,59,0,114
55,0,60,180,0,60,0,115
50,0,30,0,0,-30,0,20
50,0,25,0,0,-25,0,25
50,0,20,0,0,-20,0,30
50,0,15,0,0,-15,0,35
50,0,10,0,0,-10,0,40
50,0,5,0,0,-5,0,45
50,0,-0,0,-0,0,-0,50
50,0,5,180,0,5,0,55
50,0,10,180,0,10,0,60
50,0,15,180,0,15,0,65
50,0,20,180,0,20,0,70
50,0,25,180,0,25,0,75
50,0,30,180,0,30,0,80
50,0,35,180,0,35,0,85
50,0,40,180,0,40,0,90
50,0,45,180,0,45,0,95
50,0,46,180,0,46,0,96
50,0,47,180,0,47,0,97
50,0,48,180,0,48,0,98
50,0,49,180,0,49,0,99
50,0,50,180,0,50,0,100
50,0,51,180,0,51,0,101
50,0,52,180,0,52,0,102
50,0,53,180,0,53,0,103
50,0,54,180,0,54,0,104
50,0,55,180,0,55,0,105
50,0,60,180,0,60,0,110
45,0,30,0,0,-30,0,15
45,0,25,0,0,-25,0,20
45,0,20,0,0,-20,0,25
45,0,15,0,0,-15,0,30
45,0,10,0,0,-10,0,35
45,0,5,0,0,-5,0,40
45,0,-0,0,-0,0,-0,45
45,0,5,180,0,5,0,50
45,0,10,180,0,10,0,55
45,0,15,180,0,15,0,60
45,0,20,180,0,20,0,65
45,0,25,180,0,25,0,70
45,0,30,180,0,30,0,75
45,0,35,180,0,35,0,80
45,0,40,180,0,40,0,85
45,0,41,180,0,41,0,86
45,0,42,180,0,42,0,87
45,0,43,180,0,43,0,88
45,0,44,180,0,44,0,89
45,0,45,180,0,45,0,90
45,0,46,180,0,46,0,91
45,0,47,180,0,47,0,92
45,0,48,180,0,48,0,93
45,0,49,180,0,49,0,94
45,0,50,180,0,50,0,95
45,0,55,180,0,55,0,100
45,0,60,180,0,60,0,105
40,0,30,0,0,-30,0,10
40,0,25,0,0,-25,0,15
40,0,20,0,0,-20,0,20
40,0,15,0,0,-15,0,25
40,0,10,0,0,-10,0,30
40,0,5,0,0,-5,0,35
40,0,-0,0,-0,0,-0,40
40,0,5,180,0,5,0,45
40,0,10,180,0,10,0,50
40,0,15,180,0,15,0,55
40,0,20,180,0,20,0,60
40,0,25,180,0,25,0,65
40,0,30,180,0,30,0,70
40,0,35,180,0,35,0,75
40,0,36,180,0,36,0,76
40,0,37,180,0,37,0,77
40,0,38,180,0,38,0,78
40,0,39,180,0,39,0,79
40,0,40,180,0,40,0,80
40,0,41,180,0,41,0,81
40,0,42,180,0,42,0,82
40,0,43,180,0,43,0,83
40,0,44,180,0,44,0,84
40,0,45,180,0,45,0,85
40,0,50,180,0,50,0,90
40,0,55,180,0,55,0,95
40,0,60,180,0,60,0,100
35,0,25,0,0,-25,0,10
35,0,20,0,0,-20,0,15
35,0,15,0,0,-15,0,20
35,0,10,0,0,-10,0,25
35,0,5,0,0,-5,0,30
35,0,-0,0,-0,0,-0,35
35,0,5,180,0,5,0,40
35,0,10,180,0,10,0,45
35,0,15,180,0,15,0,50
35,0,20,180,0,20,0,55
35,0,25,180,0,25,0,60
35,0,30,180,0,30,0,65
35,0,31,180,0,31,0,66
35,0,32,180,0,32,0,67
35,0,33,180,0,33,0,68
35,0,34,180,0,34,0,69
35,0,35,180,0,35,0,70
35,0,36,180,0,36,0,71
35,0,37,180,0,37,0,72
35,0,38,180,0,38,0,73
35,0,39,180,0,39,0,74
35,0,40,180,0,40,0,75
35,0,45,180,0,45,0,80
35,0,50,180,0,50,0,85
35,0,55,180,0,55,0,90
35,0,60,180,0,60,0,95
30,0,20,0,0,-20,0,10
30,0,15,0,0,-15,0,15
30,0,10,0,0,-10,0,20
30,0,5,0,0,-5,0,25
30,0,-0,0,-0,0,-0,30
30,0,5,180,0,5,0,35
30,0,10,180,0,10,0,40
30,0,15,180,0,15,0,45
30,0,20,180,0,20,0,50
30,0,25,180,0,25,0,55
30,0,26,180,0,26,0,56
30,0,27,180,0,27,0,57
30,0,28,180,0,28,0,58
30,0,29,180,0,29,0,59
30,0,30,180,0,30,0,60
30,0,31,180,0,31,0,61
30,0,32,180,0,32,0,62
30,0,33,180,0,33,0,63
30,0,34,180,0,34,0,64
30,0,35,180,0,35,0,65
30,0,40,180,0,40,0,70
30,0,45,180,0,45,0,75
30,0,50,180,0,50,0,80
30,0,55,180,0,55,0,85
30,0,60,180,0,60,0,90
25,0,15,0,0,-15,0,10
25,0,10,0,0,-10,0,15
25,0,5,0,0,-5,0,20
25,0,-0,0,-0,0,-0,25
25,0,5,180,0,5,0,30
25,0,10,180,0,10,0,35
25,0,15,180,0,15,0,40
25,0,20,180,0,20,0,45
25,0,21,180,0,21,0,46
25,0,22,180,0,22,0,47
25,0,23,180,0,23,0,48
25,0,24,180,0,24,0,49
25,0,25,180,0,25,0,50
25,0,26,180,0,26,0,51
25,0,27,180,0,27,0,52
25,0,28,180,0,28,0,53
25,0,29,180,0,29,0,54
25,0,30,180,0,30,0,55
25,0,35,180,0,35,0,60
25,0,40,180,0,40,0,65
25,0,45,180,0,45,0,70
25,0,50,180,0,50,0,75
25,0,55,180,0,55,0,80
25,0,60,180,0,60,0,85
20,0,10,0,0,-10,0,10
20,0,5,0,0,-5,0,15
20,0,-0,0,-0,0,-0,20
20,0,5,180,0,5,0,25
20,0,10,180,0,10,0,30
20,0,15,180,0,15,0,35
20,0,16,180,0,16,0,36
20,0,17,180,0,17,0,37
20,0,18,180,0,18,0,38
20,0,19,180,0,19,0,39
20,0,20,180,0,20,0,40
20,0,21,180,0,21,0,41
20,0,22,180,0,22,0,42
20,0,23,180,0,23,0,43
20,0,24,180,0,24,0,44
20,0,25,180,0,25,0,45
20,0,30,180,0,30,0,50
20,0,35,180,0,35,0,55
20,0,40,180,0,40,0,60
20,0,45,180,0,45,0,65
20,0,50,180,0,50,0,70
20,0,55,180,0,55,0,75
20,0,60,180,0,60,0,80
15,0,30,0,0,-30,180,15
15,0,25,0,0,-25,180,10
15,0,5,0,0,-5,0,10
15,0,-0,0,-0,0,-0,15
15,0,5,180,0,5,0,20
15,0,10,180,0,10,0,25
15,0,11,180,0,11,0,26
15,0,12,180,0,12,0,27
15,0,13,180,0,13,0,28
15,0,14,180,0,14,0,29
15,0,15,180,0,15,0,30
15,0,16,180,0,16,0,31
15,0,17,180,0,17,0,32
15,0,18,180,0,18,0,33
15,0,19,180,0,19,0,34
15,0,20,180,0,20,0,35
15,0,25,180,0,25,0,40
15,0,30,180,0,30,0,45
15,0,35,180,0,35,0,50
15,0,40,180,0,40,0,55
15,0,45,180,0,45,0,60
15,0,50,180,0,50,0,65
15,0,55,180,0,55,0,70
15,0,60,180,0,60,0,75
10,0,30,0,0,-30,180,20
10,0,25,0,0,-25,180,15
10,0,-0,0,-0,0,-0,10
10,0,5,180,0,5,0,15
10,0,6,180,0,6,0,16
10,0,7,180,0,7,0,17
10,0,8,180,0,8,0,18
10,0,9,180,0,9,0,19
10,0,10,180,0,10,0,20
10,0,11,180,0,11,0,21
